127.0.0.1, 2015-11-14 11:06:14, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.022530
127.0.0.1, 2015-11-14 11:07:54, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.013810
127.0.0.1, 2015-11-14 11:07:56, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.025682
127.0.0.1, 2015-11-14 11:08:01, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.023255
127.0.0.1, 2015-11-14 11:35:24, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.060814
127.0.0.1, 2015-11-14 11:35:25, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-14.11-35-24.25862475-3eba-4aac-a9a6-91adba22a1ea, HTTP/1.1, 303, 0.008126
127.0.0.1, 2015-11-14 11:35:25, GET, /admin/default/index, HTTP/1.1, 200, 0.041620
127.0.0.1, 2015-11-14 11:35:28, POST, /admin/default/index, HTTP/1.1, 303, 0.040442
127.0.0.1, 2015-11-14 11:35:28, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-14.11-35-24.25862475-3eba-4aac-a9a6-91adba22a1ea, HTTP/1.1, 200, 0.057160
127.0.0.1, 2015-11-14 11:36:47, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.052752
127.0.0.1, 2015-11-14 11:37:56, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.069832
127.0.0.1, 2015-11-14 11:38:11, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.046394
127.0.0.1, 2015-11-14 11:38:35, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.048667
127.0.0.1, 2015-11-14 11:39:09, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.051209
127.0.0.1, 2015-11-14 11:39:29, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.052902
127.0.0.1, 2015-11-14 11:41:41, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.034302
127.0.0.1, 2015-11-14 11:46:05, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.064122
127.0.0.1, 2015-11-14 11:47:51, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.060321
127.0.0.1, 2015-11-14 11:47:51, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.014024
127.0.0.1, 2015-11-14 11:47:53, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.059129
127.0.0.1, 2015-11-14 11:47:55, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-14.11-47-53.9e4f4073-52fa-4e98-96fe-6fdda1f3e611, HTTP/1.1, 200, 0.063214
127.0.0.1, 2015-11-14 11:48:59, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.043135
127.0.0.1, 2015-11-14 11:49:01, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-14.11-48-59.2c9023da-cbb1-4e16-b447-474df1bf7d8d, HTTP/1.1, 200, 0.068914
127.0.0.1, 2015-11-14 11:51:13, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.055544
127.0.0.1, 2015-11-14 11:51:14, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-14.11-51-13.f70fabac-a7a1-4205-8b18-154368c60f3e, HTTP/1.1, 200, 0.061168
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-14.11-51-13.f70fabac-a7a1-4205-8b18-154368c60f3e, HTTP/1.1, 200, 0.047737
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 200, 0.000717
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.003254
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 304, 0.000330
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 304, 0.000494
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 304, 0.000793
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 304, 0.001997
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.002034
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001130
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001242
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 304, 0.000889
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001454
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000670
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.001859
127.0.0.1, 2015-11-14 11:51:31, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 304, 0.000271
127.0.0.1, 2015-11-14 11:51:59, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.051667
127.0.0.1, 2015-11-14 11:52:02, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-14.11-51-59.eff3824b-c0ca-40bc-a494-0bf463485f7c, HTTP/1.1, 200, 0.089678
127.0.0.1, 2015-11-14 11:54:51, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.030873
127.0.0.1, 2015-11-14 11:54:59, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.017553
127.0.0.1, 2015-11-14 11:55:03, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.026129
127.0.0.1, 2015-11-14 11:55:04, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.015994
127.0.0.1, 2015-11-14 11:55:42, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.024392
127.0.0.1, 2015-11-14 11:56:10, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.029229
127.0.0.1, 2015-11-14 11:57:05, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.017877
127.0.0.1, 2015-11-14 11:57:27, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.024633
